,FN mean SHAP,TP mean SHAP,difference,FN abs SHAP,TP abs SHAP
ap_hi,-0.61094296,0.909513,-1.520456,0.6595259,1.0419548
cholesterol,-0.08224475,0.15008688,-0.23233163,0.18051215,0.2796003
age_years,-0.02531313,0.13500117,-0.16031429,0.2666748,0.21299201
ap_lo,-0.049824793,0.070087925,-0.119912714,0.0610248,0.099418685
weight,-0.024911754,0.023862503,-0.048774257,0.111879334,0.08254533
active,-0.0049878964,0.0043130964,-0.009300993,0.07281807,0.055703443
height,0.005765523,0.0115238745,-0.0057583516,0.02014824,0.025616413
gender,0.0075264103,0.010775297,-0.0032488867,0.007578729,0.010785731
gluc,0.008754638,0.0056937025,0.0030609355,0.017485837,0.04620579
alco,0.0082316,0.005155525,0.0030760746,0.019219117,0.016724018
smoke,0.012319872,0.008238699,0.004081173,0.016718432,0.012455271
